,4MD6_24E,2CHM_3P4,4I9Z_5BA,4IA0_5BB,3SIE_5BO,3SHZ_5CO,4OEX_5EO,4OEW_5IO,2H44_7CA,1XOZ_CIA,1RKP_IBM,4G2W_NI0,3HC8_PD4,3HDZ_PD6,3TGE_TGE,1XP0_VDN,3BJC_WAN
4MD6_24E,0.0,0.9166666666666666,0.8888888888888888,0.898989898989899,0.8947368421052632,0.8936170212765957,0.8791208791208791,0.8936170212765957,0.8297872340425532,0.8426966292134832,0.8933333333333333,0.8936170212765957,0.9142857142857143,0.8780487804878049,0.9150943396226415,0.8762886597938144,0.8817204301075269
2CHM_3P4,0.9166666666666666,0.0,0.7352941176470589,0.7924528301886793,0.7722772277227723,0.7575757575757576,0.79,0.77,0.8782608695652174,0.8807339449541285,0.8666666666666667,0.77,0.8333333333333334,0.8673469387755102,0.8347826086956522,0.8037383177570093,0.7575757575757576
4I9Z_5BA,0.8888888888888888,0.7352941176470589,0.0,0.5764705882352941,0.48051948051948057,0.55,0.5569620253164558,0.55,0.8598130841121495,0.8144329896907216,0.8125,0.55,0.7884615384615384,0.8444444444444444,0.7904761904761904,0.7263157894736842,0.7526881720430108
4IA0_5BB,0.898989898989899,0.7924528301886793,0.5764705882352941,0.0,0.26865671641791045,0.3802816901408451,0.452054794520548,0.3802816901408451,0.9,0.86,0.8536585365853658,0.3802816901408451,0.8425925925925926,0.8160919540229885,0.822429906542056,0.5365853658536586,0.6627906976744187
3SIE_5BO,0.8947368421052632,0.7722772277227723,0.48051948051948057,0.26865671641791045,0.0,0.180327868852459,0.296875,0.180327868852459,0.8962264150943396,0.865979381443299,0.8461538461538461,0.180327868852459,0.801980198019802,0.8352941176470589,0.7920792079207921,0.5853658536585367,0.6941176470588235
3SHZ_5CO,0.8936170212765957,0.7575757575757576,0.55,0.3802816901408451,0.180327868852459,0.0,0.2857142857142857,0.16666666666666663,0.8952380952380953,0.8645833333333334,0.8441558441558441,0.16666666666666663,0.8,0.8333333333333334,0.79,0.5802469135802469,0.6904761904761905
4OEX_5EO,0.8791208791208791,0.79,0.5569620253164558,0.452054794520548,0.296875,0.2857142857142857,0.0,0.2857142857142857,0.8823529411764706,0.8494623655913979,0.8243243243243243,0.2857142857142857,0.7835051546391752,0.8292682926829268,0.7857142857142857,0.5696202531645569,0.7142857142857143
4OEW_5IO,0.8936170212765957,0.77,0.55,0.3802816901408451,0.180327868852459,0.16666666666666663,0.2857142857142857,0.0,0.8846153846153846,0.8645833333333334,0.8441558441558441,0.16666666666666663,0.7878787878787878,0.8192771084337349,0.7777777777777778,0.5802469135802469,0.6904761904761905
2H44_7CA,0.8297872340425532,0.8782608695652174,0.8598130841121495,0.9,0.8962264150943396,0.8952380952380953,0.8823529411764706,0.8846153846153846,0.0,0.8613861386138614,0.8690476190476191,0.8846153846153846,0.8113207547169812,0.8571428571428572,0.8240740740740741,0.8899082568807339,0.8627450980392157
1XOZ_CIA,0.8426966292134832,0.8807339449541285,0.8144329896907216,0.86,0.865979381443299,0.8645833333333334,0.8494623655913979,0.8645833333333334,0.8613861386138614,0.0,0.8860759493670887,0.8526315789473684,0.908256880733945,0.872093023255814,0.8990825688073394,0.9038461538461539,0.8762886597938144
1RKP_IBM,0.8933333333333333,0.8666666666666667,0.8125,0.8536585365853658,0.8461538461538461,0.8441558441558441,0.8243243243243243,0.8441558441558441,0.8690476190476191,0.8860759493670887,0.0,0.8441558441558441,0.8214285714285714,0.8507462686567164,0.8372093023255813,0.8674698795180723,0.8441558441558441
4G2W_NI0,0.8936170212765957,0.77,0.55,0.3802816901408451,0.180327868852459,0.16666666666666663,0.2857142857142857,0.16666666666666663,0.8846153846153846,0.8526315789473684,0.8441558441558441,0.0,0.8,0.8333333333333334,0.79,0.5802469135802469,0.6904761904761905
3HC8_PD4,0.9142857142857143,0.8333333333333334,0.7884615384615384,0.8425925925925926,0.801980198019802,0.8,0.7835051546391752,0.7878787878787878,0.8113207547169812,0.908256880733945,0.8214285714285714,0.8,0.0,0.8387096774193549,0.22972972972972971,0.8425925925925926,0.8349514563106796
3HDZ_PD6,0.8780487804878049,0.8673469387755102,0.8444444444444444,0.8160919540229885,0.8352941176470589,0.8333333333333334,0.8292682926829268,0.8192771084337349,0.8571428571428572,0.872093023255814,0.8507462686567164,0.8333333333333334,0.8387096774193549,0.0,0.8021978021978022,0.8426966292134832,0.8333333333333334
3TGE_TGE,0.9150943396226415,0.8347826086956522,0.7904761904761904,0.822429906542056,0.7920792079207921,0.79,0.7857142857142857,0.7777777777777778,0.8240740740740741,0.8990825688073394,0.8372093023255813,0.79,0.22972972972972971,0.8021978021978022,0.0,0.8333333333333334,0.8365384615384616
1XP0_VDN,0.8762886597938144,0.8037383177570093,0.7263157894736842,0.5365853658536586,0.5853658536585367,0.5802469135802469,0.5696202531645569,0.5802469135802469,0.8899082568807339,0.9038461538461539,0.8674698795180723,0.5802469135802469,0.8425925925925926,0.8426966292134832,0.8333333333333334,0.0,0.7222222222222222
3BJC_WAN,0.8817204301075269,0.7575757575757576,0.7526881720430108,0.6627906976744187,0.6941176470588235,0.6904761904761905,0.7142857142857143,0.6904761904761905,0.8627450980392157,0.8762886597938144,0.8441558441558441,0.6904761904761905,0.8349514563106796,0.8333333333333334,0.8365384615384616,0.7222222222222222,0.0
